ID,Partei,Titel,Vorname,Nachname,Wahlkreis_ID,Wahlkreis_Name,Jahrgang,Geburtsort,Geburtsort_Location,Beruf,Geschlecht
43,DIE LINKE,,Azize,Tank,81,Tempelhof-Schöneberg,1950,"Diyarbakir, Türkei","37.924465, 40.2107",Migrantenbeauftragte a.D.,w
44,DIE LINKE,,Ruben,Lehnert,82,Neukölln,1978,Siegen,"50.872422, 8.022901",Redakteur,m
45,DIE LINKE,,Halina,Wawzyniak,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1973,Königs-Wusterhausen,"52.29658, 13.628505","Juristin, MdB",w
46,DIE LINKE,Dr.,Gregor,Gysi,84,Treptow-Köpenick,1948,Berlin,"52.516074, 13.376987","Rechtsanwalt, MdB",m
47,DIE LINKE,,Petra,Pau,85,Marzahn-Hellersdorf,1963,Berlin,"52.516074, 13.376987","Lehrerin, MdB",w
48,DIE LINKE,Dr.,Gesine,Lötzsch,86,Lichtenberg,1961,Berlin,"52.516074, 13.376987","Philologin, MdB",w
49,FDP,,Hartmut,Bade,75,Mitte,1961,Hannover,"52.372278, 9.738157",Selbständig,m
50,FDP,,Linus,Vollmar,76,Pankow ohne Prenzlauer Berg Ost,1994,Berlin,"52.516074, 13.376987",Abiturient,m
51,FDP,,Mieke,Senftleben,77,Reinickendorf,1952,Delmenhorst,"53.047027, 8.629297",Selbstständig,w
52,FDP,,Paul,Fresdorf,78,Spandau und Charlottenburg-Nord,1977,Berlin,"52.516074, 13.376987",Dipl.-Wirtschaftsjurist (FH),m
53,FDP,Dr.,Martin,Lindner,79,Steglitz-Zehlendorf,1964,Grünwald,"48.03962, 11.522745","Rechtsanwalt, MdB",m
54,FDP,,Lars,Lindemann,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1971,"Herzberg, Elster","51.693463, 13.23142","Rechtsanwalt, MdB",m
55,FDP,,Holger,Krestel,81,Tempelhof-Schöneberg,1955,Berlin,"52.516074, 13.376987","Dipl. Verwaltungswirt, MdB",m
56,FDP,Dr.,Sebastian,Kluckert,82,Neukölln,1974,Berlin,"52.516074, 13.376987",Volljurist,m
57,FDP,,Helmut,Metzner,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1968,Bamberg,"49.8988135, 10.9027636",Berater für pol. Kommunikation,m
58,FDP,,Volker,Thiel,84,Treptow-Köpenick,1955,Lüneburg,"53.247585, 10.41414",Unternehmensberater,m
59,FDP,,Tom,Wesener,85,Marzahn-Hellersdorf,1993,Berlin,"52.516074, 13.376987",Schüler,m
60,FDP,,Holger,Schwabe,86,Lichtenberg,1964,Gotha,"50.9469188, 10.7092884",Referent,m
61,PIRATEN,,Therese,Lehnen,75,Mitte,1963,"Schwalmtal, Viersen","51.234879, 6.36467",Rechtsfachwirtin,w
62,PIRATEN,,Fabricio,Martins do Canto,76,Pankow ohne Prenzlauer Berg Ost,1969,"Alegrete, Brasilien","-29.7848016, -55.775657",Bachelor Betriebswirtschaftslehre,m
63,PIRATEN,,Gerd,Lindenblatt,77,Reinickendorf,1945,Sommerschenburg,"52.171478, 11.09926",Pensionär,m
